1,Saving Private Ryan,DW,"$216,540,909 ","2,807","$30,576,104 ","2,463",24-Jul
2,Armageddon,BV,"$201,578,182 ","3,184","$36,089,972 ","3,127",1-Jul
3,There's Something About Mary,Fox,"$176,484,651 ","2,555","$13,740,644 ","2,186",15-Jul
4,A Bug's Life,BV,"$162,798,565 ","2,773","$291,121 ",1,27-Nov
5,The Waterboy,BV,"$161,491,646 ","2,782","$39,414,071 ","2,664",6-Nov
6,Doctor Dolittle,Fox,"$144,156,605 ","2,871","$29,014,324 ","2,777",26-Jun
7,Rush Hour,NL,"$141,186,864 ","2,724","$33,001,803 ","2,638",18-Sep
8,Deep Impact,Par.,"$140,464,664 ","3,280","$41,152,375 ","3,156",8-May
9,Good Will Hunting,Mira.,"$138,433,435 ","2,203","$272,912 ",7,9-Jan
10,Godzilla,Sony,"$136,314,294 ","3,310","$44,047,541 ","3,310",20-May
11,Patch Adams,Uni.,"$135,026,902 ","2,909","$25,262,280 ","2,712",25-Dec
12,Lethal Weapon 4,WB,"$130,444,603 ","3,117","$34,048,124 ","3,117",10-Jul
13,The Truman Show,Par.,"$125,618,201 ","2,911","$31,542,121 ","2,315",5-Jun
14,Mulan,BV,"$120,620,254 ","2,953","$22,745,143 ","2,888",19-Jun
15,You've Got Mail,WB,"$115,821,495 ","2,948","$18,426,749 ","2,691",18-Dec
16,Enemy of the State,BV,"$111,549,836 ","2,517","$20,038,573 ","2,393",20-Nov
17,The Prince of Egypt,DW,"$101,413,188 ","3,218","$14,524,321 ","3,118",18-Dec
18,The Rugrats Movie,Par.,"$100,494,675 ","2,832","$27,321,470 ","2,782",20-Nov
19,The Mask of Zorro,Sony,"$94,095,523 ","2,515","$22,525,855 ","2,515",17-Jul
20,Stepmom,Sony,"$91,137,662 ","2,503","$19,142,440 ","2,358",25-Dec
21,Antz,DW,"$90,757,863 ","2,929","$17,195,160 ","2,449",2-Oct
22,The X-Files,Fox,"$83,898,313 ","2,650","$30,138,758 ","2,629",19-Jun
23,The Wedding Singer,NL,"$80,245,725 ","2,837","$18,865,080 ","2,821",13-Feb
24,City of Angels,WB,"$78,685,114 ","2,433","$15,369,048 ","2,212",10-Apr
25,The Horse Whisperer,BV,"$75,383,563 ","2,362","$13,685,488 ","2,039",15-May
26,"Six Days, Seven Nights",BV,"$74,339,294 ","2,606","$16,485,276 ","2,550",12-Jun
27,Star Trek: Insurrection,Par.,"$70,187,658 ","2,677","$22,052,836 ","2,620",11-Dec
28,Blade,NL,"$70,087,718 ","2,389","$17,073,856 ","2,322",21-Aug
29,Lost in Space,NL,"$69,117,629 ","3,306","$20,154,919 ","3,306",3-Apr
30,A Perfect Murder,WB,"$67,638,368 ","2,845","$16,615,704 ","2,845",5-Jun
31,The Parent Trap,BV,"$66,308,518 ","2,407","$11,148,497 ","2,247",31-Jul
32,Ever After: A Cinderella Story,Fox,"$65,705,771 ","2,067","$8,526,904 ","1,767",31-Jul
33,Hope Floats,Fox,"$60,053,195 ","2,404","$14,210,464 ","2,367",29-May
34,U.S. Marshals,WB,"$57,167,405 ","2,817","$16,863,988 ","2,817",6-Mar
35,The Man in the Iron Mask,MGM,"$56,968,902 ","3,101","$17,271,450 ","3,101",13-Mar
36,Snake Eyes,Par.,"$55,591,409 ","2,718","$16,310,373 ","2,713",7-Aug
37,What Dreams May Come,Poly,"$55,382,927 ","2,531","$15,833,592 ","2,526",2-Oct
38,Halloween: H20,Dim.,"$55,041,738 ","2,669","$16,187,724 ","2,607",7-Aug
39,Small Soldiers,DW,"$54,682,547 ","2,613","$14,047,592 ","2,539",10-Jul
40,Mighty Joe Young,BV,"$50,632,037 ","2,559","$10,602,042 ","2,502",25-Dec
41,Practical Magic,WB,"$46,683,377 ","2,652","$13,104,694 ","2,652",16-Oct
42,Meet Joe Black,Uni.,"$44,619,100 ","2,527","$15,017,995 ","2,503",13-Nov
43,The Negotiator,WB,"$44,547,681 ","2,436","$10,218,831 ","2,436",31-Jul
44,Wag the Dog,NL,"$43,061,945 ","1,752","$92,079 ",3,9-Jan
45,Ronin,MGM,"$41,616,262 ","2,487","$12,697,641 ","2,487",25-Sep
46,The Siege,Fox,"$40,981,289 ","2,582","$13,931,285 ","2,541",6-Nov
47,Pleasantville,NL,"$40,584,421 ","1,773","$8,855,063 ","1,636",23-Oct
48,The Faculty,Mira.,"$40,283,321 ","2,365","$11,633,495 ","2,365",25-Dec
49,I Still Know What You Did Last Summer,Sony,"$40,002,112 ","2,473","$16,520,038 ","2,443",13-Nov
50,Primary Colors,Uni.,"$39,001,187 ","1,976","$12,045,395 ","1,965",20-Mar
51,Urban Legend,Sony,"$38,072,438 ","2,257","$10,515,444 ","2,257",25-Sep
52,How Stella Got Her Groove Back,Fox,"$37,672,941 ","1,399","$11,318,919 ","1,395",14-Aug
53,Out of Sight,Uni.,"$37,562,568 ","2,112","$12,020,435 ","2,106",26-Jun
54,Sphere,WB,"$37,020,277 ","2,814","$14,433,957 ","2,814",13-Feb
55,Jack Frost,WB,"$34,562,556 ","2,152","$7,104,125 ","2,152",11-Dec
56,Mercury Rising,Uni.,"$32,935,289 ","2,399","$10,104,715 ","2,386",3-Apr
57,Bride of Chucky,Uni.,"$32,383,850 ","2,467","$11,830,855 ","2,412",16-Oct
58,A Night at the Roxbury,Par.,"$30,331,165 ","2,169","$9,604,791 ","1,865",2-Oct
59,Wild Things,Sony,"$30,147,739 ","2,177","$9,622,444 ","2,177",20-Mar
60,Madeline,Sony,"$29,967,750 ","1,863","$6,414,668 ","1,863",10-Jul
61,Spice World,Sony,"$29,342,592 ","2,339","$10,527,222 ","2,339",23-Jan
62,The Object of My Affection,Fox,"$29,187,243 ","1,990","$9,725,855 ","1,890",17-Apr
