1,The Lord of the Rings: The Return of the King,NL,"$377,027,325 ","3,703","$72,629,713 ","3,703",17-Dec,3-Jun
2,Finding Nemo,BV,"$339,714,978 ","3,425","$70,251,710 ","3,374",30-May,18-Dec
3,Pirates of the Caribbean: The Curse of the Black Pearl,BV,"$305,413,918 ","3,416","$46,630,690 ","3,269",9-Jul,8-Jan
4,The Matrix Reloaded,WB,"$281,576,461 ","3,603","$91,774,413 ","3,603",15-May,13-Nov
5,Bruce Almighty,Uni.,"$242,829,261 ","3,549","$67,953,330 ","3,483",23-May,11-Dec
6,X2: X-Men United,Fox,"$214,949,694 ","3,749","$85,558,731 ","3,741",2-May,25-Sep
7,Elf,NL,"$173,398,518 ","3,381","$31,113,501 ","3,337",7-Nov,4-Mar
8,Chicago,Mira.,"$170,687,518 ","2,701","$2,074,929 ",77,24-Jan,4-Sep
9,Terminator 3: Rise of the Machines,WB,"$150,371,112 ","3,504","$44,041,440 ","3,504",2-Jul,30-Oct
10,The Matrix Revolutions,WB,"$139,313,948 ","3,502","$48,475,154 ","3,502",5-Nov,4-Mar
11,Cheaper by the Dozen,Fox,"$138,614,544 ","3,307","$27,557,647 ","3,298",25-Dec,6-Jun
12,Bad Boys II,Sony,"$138,608,444 ","3,202","$46,522,560 ","3,186",18-Jul,20-Nov
13,Anger Management,SonR,"$135,645,823 ","3,656","$42,220,847 ","3,551",11-Apr,28-Aug
14,Bringing Down the House,BV,"$132,716,677 ","2,910","$31,101,026 ","2,801",7-Mar,28-Aug
15,Hulk,Uni.,"$132,177,234 ","3,674","$62,128,420 ","3,660",20-Jun,16-Oct
16,2 Fast 2 Furious,Uni.,"$127,154,901 ","3,418","$50,472,480 ","3,408",6-Jun,23-Oct
17,Something's Gotta Give,Sony,"$124,728,738 ","2,876","$16,064,723 ","2,677",12-Dec,29-Apr
18,Seabiscuit,Uni.,"$120,277,854 ","2,573","$20,854,735 ","1,989",25-Jul,5-Feb
19,S.W.A.T.,Sony,"$116,934,650 ","3,220","$37,062,535 ","3,202",8-Aug,11-Dec
20,Spy Kids 3D: Game Over,Dim.,"$111,761,982 ","3,388","$33,417,739 ","3,344",25-Jul,5-Feb
21,The Last Samurai,WB,"$111,127,263 ","2,938","$24,271,354 ","2,908",5-Dec,8-Apr
22,Freaky Friday,BV,"$110,230,332 ","3,067","$22,203,007 ","2,954",6-Aug,15-Jan
23,Scary Movie 3,Dim.,"$110,003,217 ","3,505","$48,113,770 ","3,505",24-Oct,19-Feb
24,The Italian Job,Par.,"$106,128,601 ","2,877","$19,457,944 ","2,633",30-May,6-Nov
25,How to Lose a Guy in 10 Days,Par.,"$105,813,373 ","2,923","$23,774,850 ","2,923",7-Feb,24-Jul
26,American Wedding,Uni.,"$104,565,114 ","3,175","$33,369,440 ","3,172",1-Aug,20-Nov
27,Daddy Day Care,SonR,"$104,297,061 ","3,472","$27,623,580 ","3,370",9-May,19-Oct
28,Daredevil,Fox,"$102,543,518 ","3,474","$40,310,419 ","3,471",14-Feb,17-Jul
29,The Cat in the Hat,Uni.,"$101,149,285 ","3,467","$38,329,160 ","3,464",21-Nov,18-Mar
30,Charlie's Angels: Full Throttle,Sony,"$100,830,111 ","3,485","$37,634,221 ","3,459",27-Jun,2-Oct
31,Cold Mountain,Mira.,"$95,636,509 ","2,802","$14,574,213 ","2,163",25-Dec,1-Jul
32,Master and Commander: The Far Side of the World,Fox,"$93,927,920 ","3,101","$25,105,990 ","3,101",14-Nov,13-May
33,"Legally Blonde 2: Red, White and Blonde",MGM,"$90,186,328 ","3,375","$22,220,670 ","3,350",2-Jul,2-Oct
34,Mystic River,WB,"$90,135,191 ","1,581","$640,815 ",13,17-Oct,23-May
35,Brother Bear,BV,"$85,336,277 ","3,030","$291,940 ",2,1-Nov,8-Apr
