1,Marvel's The Avengers,BV,"$623,357,910 ","4,349","$207,438,708 ","4,349",4-May,4-Oct
2,The Dark Knight Rises,WB,"$448,139,099 ","4,404","$160,887,295 ","4,404",20-Jul,13-Dec
3,The Hunger Games,LGF,"$408,010,692 ","4,137","$152,535,747 ","4,137",23-Mar,6-Sep
4,Skyfall,Sony,"$304,360,277 ","3,526","$88,364,714 ","3,505",9-Nov,10-Mar
5,The Hobbit: An Unexpected Journey,WB,"$303,003,568 ","4,100","$84,617,303 ","4,045",14-Dec,25-Apr
6,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737 ","4,070","$141,067,634 ","4,070",16-Nov,7-Mar
7,The Amazing Spider-Man,Sony,"$262,030,663 ","4,318","$62,004,688 ","4,318",3-Jul,14-Oct
8,Brave,BV,"$237,283,207 ","4,164","$66,323,594 ","4,164",22-Jun,17-Jan
9,Ted,Uni.,"$218,815,487 ","3,303","$54,415,205 ","3,239",29-Jun,25-Oct
10,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482 ","4,263","$60,316,738 ","4,258",8-Jun,18-Oct
11,Dr. Seuss' The Lorax,Uni.,"$214,030,500 ","3,769","$70,217,070 ","3,729",2-Mar,26-Jul
12,Wreck-It Ralph,BV,"$189,422,889 ","3,752","$49,038,712 ","3,752",2-Nov,2-May
13,Lincoln,BV,"$182,207,973 ","2,293","$944,308 ",11,16-Nov,25-Apr
14,MIB 3,Sony,"$179,020,854 ","4,248","$54,592,779 ","4,248",25-May,9-Sep
15,Django Unchained,Wein.,"$162,805,434 ","3,012","$30,122,888 ","3,010",25-Dec,16-May
16,Ice Age: Continental Drift,Fox,"$161,321,843 ","3,886","$46,629,259 ","3,881",13-Jul,7-Feb
17,Snow White and the Huntsman,Uni.,"$155,332,381 ","3,777","$56,217,700 ","3,773",1-Jun,6-Sep
18,Les Miserables (2012),Uni.,"$148,809,770 ","2,927","$27,281,735 ","2,814",25-Dec,4-Apr
19,Hotel Transylvania,Sony,"$148,313,048 ","3,375","$42,522,194 ","3,349",28-Sep,28-Feb
20,Taken 2,Fox,"$139,854,287 ","3,706","$49,514,769 ","3,661",5-Oct,21-Feb
21,21 Jump Street,Sony,"$138,447,667 ","3,148","$36,302,612 ","3,121",16-Mar,1-Jul
22,Argo,WB,"$136,025,503 ","3,247","$19,458,109 ","3,232",12-Oct,24-Apr
23,Silver Linings Playbook,Wein.,"$132,092,958 ","2,809","$443,003 ",16,25-Dec,6-Jun
24,Prometheus,Fox,"$126,477,084 ","3,442","$51,050,101 ","3,396",8-Jun,20-Sep
25,Safe House,Uni.,"$126,373,434 ","3,121","$40,172,720 ","3,119",10-Feb,17-May
26,The Vow,SGem,"$125,014,030 ","3,038","$41,202,458 ","2,958",10-Feb,17-May
27,Life of Pi,Fox,"$124,987,023 ","2,946","$22,451,514 ","2,927",21-Nov,25-Jul
28,Magic Mike,WB,"$113,721,571 ","3,120","$39,127,170 ","2,930",29-Jun,27-Sep
29,The Bourne Legacy,Uni.,"$113,203,870 ","3,753","$38,142,825 ","3,745",10-Aug,8-Nov
30,Journey 2: The Mysterious Island,WB,"$103,860,290 ","3,500","$27,335,363 ","3,470",10-Feb,28-Jun
31,Rise of the Guardians,P/DW,"$103,412,758 ","3,672","$23,773,465 ","3,653",21-Nov,11-Apr
32,Flight,Par.,"$93,772,375 ","2,638","$24,900,566 ","1,884",2-Nov,14-Feb
33,Think Like a Man,SGem,"$91,547,205 ","2,052","$33,636,303 ","2,015",20-Apr,8-Jul
34,The Campaign,WB,"$86,907,746 ","3,302","$26,588,460 ","3,205",10-Aug,22-Nov
35,The Expendables 2,LGF,"$85,028,192 ","3,355","$28,591,370 ","3,316",17-Aug,22-Nov
36,Wrath of the Titans,WB,"$83,670,083 ","3,545","$33,457,188 ","3,545",30-Mar,28-Jun
37,Jack Reacher,Par.,"$80,070,736 ","3,352","$15,210,156 ","3,352",21-Dec,21-Mar
